OLD URL,Action,NEW URL,Family,Template,Entry visits,GSC clicks,GSC impressions,Backlinks,Indexed?,Assets,QA status,Notes
/ebook-payment-completion.html,HOLD,,course tools,bespoke,0,,,,,10,,no entry traffic in 6yr; h1_count=0
/electronic-flashcard-instructions.html,REVIEW,,(not in sitemap),?,0,,,,,0,,non-sitemap URL w/ traffic; needs 301 target; HTTP 404 in crawl
/email-confirmation.html,KEEP,/email-confirmation.html,OTHER / bespoke,bespoke,429,,,,,5,,
/email-subscription.html,HOLD,,OTHER / bespoke,bespoke,0,,,,,0,,no entry traffic in 6yr
/encyclopedia-britannica.html,KEEP,/encyclopedia-britannica.html,OTHER / bespoke,bespoke,1895,,,,,10,,
/english-accent-comment-form.html,301,/english-accent.html,(unknown),,0,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/english-accent.html,KEEP,/english-accent.html,OTHER / bespoke,bespoke,140,,,,,0,,h1_count=2
/enjoy-in-Spanish.html,KEEP,/enjoy-in-Spanish.html,X-for-word lessons,TEMPLATED-ish,1432,,,,,11,,
/estar.html,KEEP,/estar.html,verbs/grammar (bespoke),bespoke,6053,,,,,6,,
/eurostar.html,HOLD,,OTHER / bespoke,bespoke,0,,,,,10,,no entry traffic in 6yr; h1_count=0
/everything-everyone-has-said-is-correct-but--comment-form.html,301,/everything-everyone-has-said-is-correct-but-.html,(not in sitemap),?,48,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/everything-everyone-has-said-is-correct-but-.html,HOLD,,OTHER / bespoke,bespoke,0,,,,,0,,no entry traffic in 6yr; h1_count=2
/excelerated-learning.html,KEEP,/excelerated-learning.html,OTHER / bespoke,bespoke,71,,,,,10,,h1_count=0
/fiesta-de-san-fermin.html,KEEP,/fiesta-de-san-fermin.html,OTHER / bespoke,bespoke,2367,,,,,11,,h1_count=0
/fifteenth-birthday.html,KEEP,/fifteenth-birthday.html,OTHER / bespoke,bespoke,1584,,,,,10,,
/flashcard.html,KEEP,/flashcard.html,course tools,bespoke,1735,,,,,10,,
/foreign-service-institute-fsi-french.html,KEEP,/foreign-service-institute-fsi-french.html,OTHER / bespoke,bespoke,5595,,,,,10,,
/foreign-service-institute-fsi-german.html,KEEP,/foreign-service-institute-fsi-german.html,OTHER / bespoke,bespoke,5562,,,,,10,,
/foreign-service-institute-language-course.html,KEEP,/foreign-service-institute-language-course.html,course landing,bespoke,5935,,,,,11,,
/frame-template.html,HOLD,,OTHER / bespoke,bespoke,0,,,,,0,,no entry traffic in 6yr; h1_count=0
/free-french-lessons.html,KEEP,/free-french-lessons.html,lesson (other),bespoke,8875,,,,,11,,h1_count=0; TrafficWave
/free-german-lessons.html,KEEP,/free-german-lessons.html,lesson (other),bespoke,430,,,,,12,,
/free-spanish-cd-rom.html,REVIEW,,(not in sitemap),?,24,,,,,0,,non-sitemap URL w/ traffic; needs 301 target; HTTP 404 in crawl
/free-spanish-cdrom.html,REVIEW,,(unknown),,0,,,,,0,,no entry traffic in 6yr; HTTP 404 in crawl
/free-spanish-lesson.html,KEEP,/free-spanish-lesson.html,lesson (other),bespoke,6891,,,,,10,,h1_count=0
/french-bescherelle.html,KEEP,/french-bescherelle.html,OTHER / bespoke,bespoke,6928,,,,,5,,
/french-colours.html,KEEP,/french-colours.html,OTHER / bespoke,bespoke,237,,,,,11,,
/french-comment-form.html,301,/french.html,(unknown),,0,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/french-course.html,HOLD,,course landing,bespoke,0,,,,,8,,no entry traffic in 6yr
/french-emerge.html,REVIEW,,(unknown),,0,,,,,0,,no entry traffic in 6yr; HTTP 404 in crawl
/french-expression-en-avoir-marre-de.html,KEEP,/french-expression-en-avoir-marre-de.html,OTHER / bespoke,bespoke,1029,,,,,10,,h1_count=2
/french-flashcard.html,KEEP,/french-flashcard.html,course tools,bespoke,2741,,,,,14,,PayPal
/french-football.html,KEEP,/french-football.html,OTHER / bespoke,bespoke,2467,,,,,12,,h1_count=2
/french-for-acknowledge.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr; h1_count=0
/french-for-advise.html,KEEP,/french-for-advise.html,X-for-word lessons,TEMPLATED-ish,2267,,,,,6,,
/french-for-agree.html,KEEP,/french-for-agree.html,X-for-word lessons,TEMPLATED-ish,50,,,,,6,,
/french-for-also.html,KEEP,/french-for-also.html,X-for-word lessons,TEMPLATED-ish,265,,,,,12,,h1_count=0
/french-for-answer.html,KEEP,/french-for-answer.html,X-for-word lessons,TEMPLATED-ish,3960,,,,,6,,
/french-for-attribute.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-authorize.html,KEEP,/french-for-authorize.html,X-for-word lessons,TEMPLATED-ish,71,,,,,6,,
/french-for-avoid.html,KEEP,/french-for-avoid.html,X-for-word lessons,TEMPLATED-ish,291,,,,,7,,
/french-for-bandage.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-beef.html,KEEP,/french-for-beef.html,X-for-word lessons,TEMPLATED-ish,3909,,,,,11,,h1_count=0
/french-for-bend-courber.html,KEEP,/french-for-bend-courber.html,X-for-word lessons,TEMPLATED-ish,96,,,,,6,,
/french-for-betray.html,KEEP,/french-for-betray.html,X-for-word lessons,TEMPLATED-ish,682,,,,,7,,
/french-for-bite.html,KEEP,/french-for-bite.html,X-for-word lessons,TEMPLATED-ish,613,,,,,7,,
/french-for-blaze.html,KEEP,/french-for-blaze.html,X-for-word lessons,TEMPLATED-ish,99,,,,,6,,
/french-for-blind.html,KEEP,/french-for-blind.html,X-for-word lessons,TEMPLATED-ish,75,,,,,6,,
/french-for-boat.html,KEEP,/french-for-boat.html,X-for-word lessons,TEMPLATED-ish,2672,,,,,11,,h1_count=0
/french-for-bring-near.html,KEEP,/french-for-bring-near.html,X-for-word lessons,TEMPLATED-ish,38,,,,,7,,
/french-for-bypass.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-calculate.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-champion.html,KEEP,/french-for-champion.html,X-for-word lessons,TEMPLATED-ish,21,,,,,7,,
/french-for-chew.html,KEEP,/french-for-chew.html,X-for-word lessons,TEMPLATED-ish,21,,,,,6,,
/french-for-condemn.html,KEEP,/french-for-condemn.html,X-for-word lessons,TEMPLATED-ish,28,,,,,7,,
/french-for-contest.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-control.html,KEEP,/french-for-control.html,X-for-word lessons,TEMPLATED-ish,24,,,,,6,,
/french-for-convene.html,KEEP,/french-for-convene.html,X-for-word lessons,TEMPLATED-ish,31,,,,,6,,
/french-for-cork.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-corrupt.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-counteract.html,KEEP,/french-for-counteract.html,X-for-word lessons,TEMPLATED-ish,68,,,,,6,,
/french-for-crush-atterrer.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-crush.html,KEEP,/french-for-crush.html,X-for-word lessons,TEMPLATED-ish,50,,,,,6,,
/french-for-cut.html,KEEP,/french-for-cut.html,X-for-word lessons,TEMPLATED-ish,76,,,,,6,,
/french-for-decorate.html,KEEP,/french-for-decorate.html,X-for-word lessons,TEMPLATED-ish,538,,,,,6,,
/french-for-delight.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-demonstrate.html,KEEP,/french-for-demonstrate.html,X-for-word lessons,TEMPLATED-ish,80,,,,,6,,
/french-for-dirty.html,KEEP,/french-for-dirty.html,X-for-word lessons,TEMPLATED-ish,499,,,,,6,,
/french-for-divert.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-drag.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-duck-is-le-canard--comment-form.html,301,/french-for-duck-is-le-canard-.html,(unknown),,0,,,,,1,,SBI comment artifact -> 301 to parent; no canonical
/french-for-duck-is-le-canard-.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,1,,no entry traffic in 6yr; h1_count=2
/french-for-emerge.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,7,,no entry traffic in 6yr
/french-for-estimate.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,6,,no entry traffic in 6yr
/french-for-explode.html,HOLD,,X-for-word lessons,TEMPLATED-ish,0,,,,,7,,no entry traffic in 6yr
/french-for-fight.html,KEEP,/french-for-fight.html,X-for-word lessons,TEMPLATED-ish,590,,,,,6,,
/french-for-fill.html,KEEP,/french-for-fill.html,X-for-word lessons,TEMPLATED-ish,333,,,,,11,,h1_count=0
/french-for-finish.html,KEEP,/french-for-finish.html,X-for-word lessons,TEMPLATED-ish,7720,,,,,6,,
/french-for-flatten.html,KEEP,/french-for-flatten.html,X-for-word lessons,TEMPLATED-ish,68,,,,,7,,
