path,family,type,entry_visits_total,pageviews_total,months_seen,entry_visits_avg,first_month,last_month,trend
/spanish-football.html,OTHER / bespoke,bespoke,6309,22943,73,86.4,2020-09,2026-09,+18%
/learn-german-blog.html,blog,bespoke,6258,14289,73,89.4,2020-09,2026-09,+12%
/3Feb-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6254,9372,73,85.7,2020-09,2026-09,-15%
/3Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6203,9616,73,85.0,2020-09,2026-09,+65%
/language-tutorial.html,OTHER / bespoke,bespoke,6141,15433,73,85.3,2020-09,2026-09,+235%
/spanish-verb-sugerir.html,verb-conjugation (lang-verb-X),TEMPLATED,6126,9294,70,87.5,2020-09,2026-09,-32%
/16Sep-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6124,8072,72,86.3,2020-09,2026-09,-37%
/estar.html,verbs/grammar (bespoke),bespoke,6053,17687,73,82.9,2020-09,2026-09,+43%
/spanish-verb-ofrecer.html,verb-conjugation (lang-verb-X),TEMPLATED,6052,9525,73,82.9,2020-09,2026-09,+4%
/spanish-verb-organizar.html,verb-conjugation (lang-verb-X),TEMPLATED,6016,9323,70,87.2,2020-09,2026-09,-36%
/16Nov-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,6004,8583,71,84.6,2020-09,2026-09,+26%
/language-learning-questions.html,OTHER / bespoke,bespoke,5987,32859,73,82.0,2020-09,2026-09,+35%
/spanish-verb-saludar.html,verb-conjugation (lang-verb-X),TEMPLATED,5979,8990,71,84.2,2020-09,2026-09,-22%
/spanish-verb-banar.html,verb-conjugation (lang-verb-X),TEMPLATED,5943,9328,73,81.4,2020-09,2026-09,+33%
/foreign-service-institute-language-course.html,course landing,bespoke,5935,11065,73,81.3,2020-09,2026-09,+109%
/9Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,5899,9092,73,80.8,2020-09,2026-09,+23%
/testimonial.html,OTHER / bespoke,bespoke,5897,14241,73,83.1,2020-09,2026-09,+248%
/accelerated-learning.html,OTHER / bespoke,bespoke,5774,14368,72,84.9,2020-09,2026-09,+369%
/spanish-verb-anadir.html,verb-conjugation (lang-verb-X),TEMPLATED,5743,8346,68,84.5,2021-01,2026-09,+122%
/spanish-verb-list.html,verb-conjugation (lang-verb-X),TEMPLATED,5715,12942,73,78.3,2020-09,2026-09,+70%
