primary_legacy_refn,source_kind,source_filename,source_path,target_ext,all_legacy_refns_count,all_legacy_refns
764,jpg,"subject ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/subject ,il.jpg",jpg,2,"764,10764"
765,swf,"such ,adj.swf","/tmp/flashcard-converted/such ,adj.png",png,2,"765,10765"
766,jpg,"suddenly ,adv.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/suddenly ,adv.jpg",jpg,1,766
767,jpg,"sugar ,lo.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/sugar ,lo.jpg",jpg,2,"767,10767"
768,jpg,"suitcase ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/suitcase ,la.jpg",jpg,2,"768,10768"
769,jpg,"summer ,l (f).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/summer ,l (f).jpg",jpg,2,"769,10769"
770,jpg,"sun ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/sun ,il.jpg",jpg,2,"770,10770"
771,swf,"Sunday ,m.swf","/tmp/flashcard-converted/Sunday ,m.png",png,2,"771,10771"
772,jpg,"sunny ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/sunny ,adj.jpg",jpg,2,"772,10772"
773,jpg,"sweater ,jumper ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/sweater ,jumper ,il.jpg",jpg,2,"773,10773"
774,jpg,"sweet ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/sweet ,adj.jpg",jpg,1,774
775,jpg,"switch ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/switch ,l (m).jpg",jpg,2,"775,10775"
776,jpg,"table ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/table ,il.jpg",jpg,1,776
777,jpg,"tea ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/tea ,il.jpg",jpg,2,"777,10777"
778,jpg,"team ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/team ,la.jpg",jpg,1,778
780,swf,"ten ,num.swf","/tmp/flashcard-converted/ten ,num.png",png,2,"780,10780"
783,jpg,"thank you ,exc.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/thank you ,exc.jpg",jpg,2,"783,10783"
784,swf,"that ,art.swf","/tmp/flashcard-converted/that ,art.png",png,1,784
786,jpg,"like that ,relclause.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/like that ,relclause.jpg",jpg,2,"786,10786"
787,swf,"the ,art.swf","/tmp/flashcard-converted/the ,art.png",png,2,"787,10787"
788,swf,"the days of the week ,npl.swf","/tmp/flashcard-converted/the days of the week ,npl.png",png,2,"788,10788"
789,swf,"the months of the year ,I.swf","/tmp/flashcard-converted/the months of the year ,I.png",png,2,"789,10789"
790,jpg,"the four seasons ,npl.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/the four seasons ,npl.jpg",jpg,2,"790,10790"
791,jpg,"the time ,hour ,l (f).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/the time ,hour ,l (f).jpg",jpg,2,"791,10791"
792,jpg,"what awful weather ,phr.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/what awful weather ,phr.jpg",jpg,2,"792,10792"
793,jpg,"it is very cold today ,phr.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/it is very cold today ,phr.jpg",jpg,2,"793,10793"
794,jpg,"its hot ,phr.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/its hot ,phr.jpg",jpg,2,"794,10794"
795,jpg,"the weather is nice ,phr.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/the weather is nice ,phr.jpg",jpg,2,"795,10795"
796,jpg,"theatre ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/theatre ,il.jpg",jpg,1,796
797,jpg,"theirs ,prn.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/theirs ,prn.jpg",jpg,2,"797,110797"
799,swf,"then ,adv.swf","/tmp/flashcard-converted/then ,adv.png",png,2,"799,10799"
